variavel,variavel_no_csv,descricao,tema,unidade,tabela,arquivo,coluna_chave,url_origem
V0001,v0001,Total de pessoas,Básico,Setor,basico,Agregados_por_setores_basico_BR.csv,CD_SETOR,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_csv/Agregados_por_setores_basico_BR_20260520.zip
V0002,v0002,Total de Domicílios (DPPO + DPPV + DPPUO + DPIO + DCCM + DCSM),Básico,Setor,basico,Agregados_por_setores_basico_BR.csv,CD_SETOR,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_csv/Agregados_por_setores_basico_BR_20260520.zip
V0003,v0003,Total de Domicílios Particulares (DPPO + DPPV + DPPUO + DPIO),Básico,Setor,basico,Agregados_por_setores_basico_BR.csv,CD_SETOR,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_csv/Agregados_por_setores_basico_BR_20260520.zip
V0004,v0004,Total de Domicílios Coletivos (DCCM + DCSM),Básico,Setor,basico,Agregados_por_setores_basico_BR.csv,CD_SETOR,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_csv/Agregados_por_setores_basico_BR_20260520.zip
V0005,v0005,Média de moradores em Domicílios Particulares Ocupados (Total pessoas em Domicílios Particulares Ocupados / DPPO + DPIO),Básico,Setor,basico,Agregados_por_setores_basico_BR.csv,CD_SETOR,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_csv/Agregados_por_setores_basico_BR_20260520.zip
V0006,v0006,Percentual de Domicílios Particulares Ocupados Imputados (Total DPO imputados / Total DPO),Básico,Setor,basico,Agregados_por_setores_basico_BR.csv,CD_SETOR,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_csv/Agregados_por_setores_basico_BR_20260520.zip
V0007,v0007,Total de Domicílios Particulares Ocupados (DPPO + DPIO),Básico,Setor,basico,Agregados_por_setores_basico_BR.csv,CD_SETOR,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_csv/Agregados_por_setores_basico_BR_20260520.zip
V0008,v0008,Total de Domicílios Particulares  de Uso Ocasional (DPPUO),Básico,Setor,basico,Agregados_por_setores_basico_BR.csv,CD_SETOR,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_csv/Agregados_por_setores_basico_BR_20260520.zip
V0009,v0009,Total de Domicílios Particulares Permanentes Vagos (DPPV),Básico,Setor,basico,Agregados_por_setores_basico_BR.csv,CD_SETOR,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_csv/Agregados_por_setores_basico_BR_20260520.zip
V00001,V00001,Domicílios Particulares Permanentes Ocupados,Características do Domicílio - Parte 1,Domicílio,domicilio1,Agregados_por_setores_caracteristicas_domicilio1_BR.csv,CD_setor,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_csv/Agregados_por_setores_caracteristicas_domicilio1_BR.zip
